,Visitor/Neutral,PTS_Visitor,Home/Neutral,PTS_Home,Arena,MoV
13297,Oklahoma City Thunder,79,Memphis Grizzlies,152,FedEx Forum,73
13676,Sacramento Kings,75,Boston Celtics,128,TD Garden,53
14194,Oklahoma City Thunder,88,Los Angeles Clippers,138,Crypto.com Arena,50
14176,Portland Trail Blazers,78,Dallas Mavericks,128,American Airlines Center,50
13830,Boston Celtics,135,Philadelphia 76ers,87,Wells Fargo Center,48
13572,Detroit Pistons,87,Chicago Bulls,133,United Center,46
13452,Toronto Raptors,99,Cleveland Cavaliers,144,Rocket Mortgage Fieldhouse,45
13212,Memphis Grizzlies,95,Minnesota Timberwolves,138,Target Center,43
13936,Portland Trail Blazers,81,Minnesota Timberwolves,124,Target Center,43
12982,Milwaukee Bucks,95,Miami Heat,137,FTX Arena,42
